,Date,Ngene_norm,Ngene,NgeneUCI,NgeneLCI,PMMoV,PMMoV UCI,PMMoV LCI,Ngene_norm_int,positives,Testing,City,pos_rate,positives_raw
107,2022-03-18,3.112758079461773e-05,34393.05461732683,40818.26829640877,28680.887599449405,1104906123.1020477,1121524375.4413831,1088828704.316737,3.112758079461773e-05,3.0,1151.0,Davis,0.0026064291920069507,3.0
108,2022-03-19,1.963499067016628e-05,16080.111743315509,18947.63871942959,12680.301906595363,818951840.2852051,844919960.0713013,794746842.3529413,1.963499067016628e-05,5.0,910.0,Davis,0.005494505494505495,5.0
109,2022-03-20,1.2345255726930047e-05,13501.384227572602,15982.73292290463,10423.139782252045,1093649619.434012,1128615516.5861952,1056536472.304183,1.2345255726930047e-05,0.0,81.0,Davis,0.0,0.0
110,2022-03-21,1.6044730819614295e-05,10342.261502803738,12574.809360747666,7874.297948909657,644589280.996885,681808480.9968848,608597248.598131,1.6044730819614295e-05,3.0,315.0,Davis,0.009523809523809525,3.0
111,2022-03-22,6.337511452241472e-06,6826.295628691984,8744.135183122364,5007.85197907173,1077125568.9451478,1098254858.3966246,1053157448.7763712,6.337511452241472e-06,2.0,291.0,Davis,0.006872852233676976,2.0
112,2022-03-23,3.1037006082242675e-05,39151.83480153257,44035.96271570881,33666.76783448276,1261456556.015326,1367258777.6245215,1164505227.2796938,3.1037006082242675e-05,6.0,569.0,Davis,0.01054481546572935,6.0
113,2022-03-24,1.6651904064504557e-05,13676.272960000002,15795.316558840585,11481.692132173912,821303852.5217392,872949785.0434783,771363649.3913044,1.6651904064504557e-05,5.0,691.0,Davis,0.00723589001447178,5.0
114,2022-03-25,5.1548962780251006e-05,26788.278315044245,29573.6346619469,24183.78250383481,519666679.41002953,533998526.4896756,504969126.1356932,5.1548962780251006e-05,0.0,,Davis,,0.0
115,2022-03-26,8.252698614741697e-05,41814.59562404372,45240.29801092897,38389.12515846995,506677846.5573772,524587262.07650286,486272926.338798,8.252698614741697e-05,5.0,393.0,Davis,0.01272264631043257,5.0
116,2022-03-27,9.178920733423216e-05,64630.79176087305,69408.60333650031,59853.31189805161,704121907.5520813,740071924.1819538,675248519.2340349,9.178920733423216e-05,4.0,571.0,Davis,0.0070052539404553416,4.0
117,2022-03-28,0.0001108792024601,79224.0261242938,85359.69188700567,71134.75584180793,714507539.4350284,752898239.0960453,679481360.0000001,0.0001108792024601,3.0,436.0,Davis,0.006880733944954129,3.0
118,2022-03-29,9.457720528231922e-06,15254.24270899471,17691.343130864196,13052.094340740738,1612887869.065256,1738561301.4462082,1520582045.008818,9.457720528231922e-06,5.0,1056.0,Davis,0.004734848484848485,5.0
119,2022-03-30,7.73639811272568e-06,12153.645269333334,14286.54706251852,8724.805338074075,1570969473.422222,1625816985.125926,1524255787.1407406,7.73639811272568e-06,3.0,1273.0,Davis,0.002356637863315004,3.0
120,2022-03-31,3.175126721481702e-05,28411.06461798942,36603.70559435626,24698.711579541447,894800967.3368608,915744702.081129,873932240.1410936,3.175126721481702e-05,6.0,939.0,Davis,0.006389776357827476,6.0
121,2022-04-01,1.907485206608818e-05,22235.809810577863,25410.553765675388,19077.84472066891,1165713355.6547642,1196364888.1861758,1139055524.5535707,1.907485206608818e-05,2.0,1366.0,Davis,0.0014641288433382138,2.0
122,2022-04-02,1.1434016702105674e-05,12757.50968946283,15838.026794539,10186.269493300671,1115750485.751295,1147280298.7370446,1089455907.950132,1.1434016702105674e-05,4.0,880.0,Davis,0.004545454545454545,4.0
123,2022-04-03,3.3196982767793054e-05,33353.719015328374,37206.20586086778,28926.710170166465,1004721400.3944774,1025457847.9413208,987440674.309668,3.3196982767793054e-05,4.0,271.0,Davis,0.014760147601476014,4.0
124,2022-04-04,4.292394135153917e-05,46089.32359352752,54877.92005177995,38961.734586407765,1073743979.288026,1106951687.249191,1045839416.957929,4.292394135153917e-05,3.0,521.0,Davis,0.005758157389635317,3.0
125,2022-04-05,2.247354560353328e-05,22302.180104897318,26218.41731943129,17963.893040126386,992374790.2685626,1043440061.1690364,945501950.078989,2.247354560353328e-05,5.0,963.0,Davis,0.005192107995846314,5.0
126,2022-04-06,1.8660916361099144e-05,15909.653204040404,18233.789164790764,13083.616203174604,852565484.7907647,876019401.7893217,827605011.9480519,1.8660916361099144e-05,0.0,1147.0,Davis,0.0,0.0
